Best one,,
Angular Displacement (deg) CAM,Angular Displacement18 (deg) ALPHA,Angular Displacement18 (deg) ALPHA Fixed
110.8702618,17.27724953,-17.27724953
109.8966104,16.99751808,-16.99751808
107.9128221,16.43791574,-16.43791574
106.9578889,16.17413137,-16.17413137
106.5157511,16.0531223,-16.0531223
105.3754402,15.74485561,-15.74485561
103.7436134,15.31700939,-15.31700939
103.0226065,15.13320448,-15.13320448
102.6957569,15.05058571,-15.05058571
101.2746733,14.69891924,-14.69891924
100.1617141,14.43227428,-14.43227428
99.06663673,14.17645976,-14.17645976
95.08338031,13.31589607,-13.31589607
92.60559787,12.82249155,-12.82249155
91.08940772,12.53998685,-12.53998685
90.76286017,12.48102684,-12.48102684
89.73488448,12.30144421,-12.30144421
87.48772244,11.93331027,-11.93331027
87.07718172,11.86990306,-11.86990306
85.37917325,11.62151784,-11.62151784
83.7163528,11.40058147,-11.40058147
83.05300274,11.31883495,-11.31883495
82.49184378,11.25254041,-11.25254041
80.96309767,11.08720202,-11.08720202
78.9972175,10.90671238,-10.90671238
78.91636035,10.89985476,-10.89985476
74.91797307,10.63310587,-10.63310587
73.97766319,10.5881018,-10.5881018
71.70054398,10.502044,-10.502044
70.81948455,10.47769972,-10.47769972
70.51185387,10.47027912,-10.47027912
68.93310638,10.44097935,-10.44097935
66.70858504,10.42041794,-10.42041794
62.56855826,10.4094104,-10.4094104
58.41145545,10.40203165,-10.40203165
57.28899832,10.39935596,-10.39935596
54.23632869,10.39412932,-10.39412932
50.04021605,10.39006576,-10.39006576
47.80173451,10.39056044,-10.39056044
46.01732792,10.39479072,-10.39479072
45.82668375,10.3954801,-10.3954801
44.84553681,10.39923943,-10.39923943
43.12024909,10.40822423,-10.40822423
41.59402355,10.41930049,-10.41930049
41.34562798,10.42132467,-10.42132467
40.07133275,10.43330938,-10.43330938
38.76646835,10.44804351,-10.44804351
37.35048002,10.46657507,-10.46657507
37.16114858,10.46916881,-10.46916881
35.25686579,10.49780247,-10.49780247
33.81992023,10.52152316,-10.52152316
33.08403494,10.53435644,-10.53435644
32.70942126,10.54088185,-10.54088185
28.8010789,10.61203522,-10.61203522
24.49246742,10.69057685,-10.69057685
24.42510748,10.69185637,-10.69185637
21.97203234,10.7373556,-10.7373556
20.46138875,10.76400626,-10.76400626
20.17477799,10.7688858,-10.7688858
18.52527336,10.79692379,-10.79692379
16.94602213,10.82239682,-10.82239682
15.83384237,10.84059743,-10.84059743
13.77650986,10.87045296,-10.87045296
12.50373073,10.89022741,-10.89022741
11.46637049,10.90567928,-10.90567928
11.05562016,10.9118941,-10.9118941
9.478328239,10.93577137,-10.93577137
7.784197432,10.96090804,-10.96090804
7.084939823,10.97156496,-10.97156496
6.402851485,10.98218894,-10.98218894
5.030167673,11.00363309,-11.00363309
3.413228828,11.02994763,-11.02994763
2.68225877,11.04225997,-11.04225997
1.979372082,11.05415457,-11.05415457
0.557435674,11.07946226,-11.07946226
-0.877637073,11.10583269,-11.10583269
-1.735024653,11.1220534,-11.1220534
-2.356980684,11.13414854,-11.13414854
-4.199113344,11.16848458,-11.16848458
-5.555939815,11.19598673,-11.19598673
-6.169716901,11.2081541,-11.2081541
-6.72412142,11.21927525,-11.21927525
-10.62621196,11.29397159,-11.29397159
-10.96187769,11.30002915,-11.30002915
-13.01728656,11.33733939,-11.33733939
-14.23879906,11.35879873,-11.35879873
-15.09956353,11.37326472,-11.37326472
-15.49241016,11.37995402,-11.37995402
-17.24385138,11.40714451,-11.40714451
-19.59077484,11.4380482,-11.4380482
-20.7715947,11.4523044,-11.4523044
-22.6557628,11.47042467,-11.47042467
-24.11285975,11.48216163,-11.48216163
-24.30748915,11.48332865,-11.48332865
-25.95610838,11.49234889,-11.49234889
-28.06291892,11.49552039,-11.49552039
-28.64584215,11.49559187,-11.49559187
-29.9115666,11.49245357,-11.49245357
-32.02837751,11.48132919,-11.48132919
-33.20071984,11.47104636,-11.47104636
-35.92513755,11.43446866,-11.43446866
-37.30263012,11.41415885,-11.41415885
-37.77464381,11.40663592,-11.40663592
-38.69790693,11.39241524,-11.39241524
-40.12063638,11.3701619,-11.3701619
-41.3090968,11.35186729,-11.35186729
-42.36516694,11.33684551,-11.33684551
-42.56401886,11.3339588,-11.3339588
-44.20166769,11.31339009,-11.31339009
-45.46778802,11.30043353,-11.30043353
-46.84856493,11.28939168,-11.28939168
-46.98062061,11.2883964,-11.2883964
-48.73087937,11.27897761,-11.27897761
-50.28277536,11.27390267,-11.27390267
-51.60499844,11.27141984,-11.27141984
-52.04003982,11.27066919,-11.27066919
-53.31980459,11.26922055,-11.26922055
-56.25178664,11.26836124,-11.26836124
-56.42912579,11.26825576,-11.26825576
-58.15875722,11.26781998,-11.26781998
-59.86393008,11.26663726,-11.26663726
-60.91183275,11.26557245,-11.26557245
-61.36046714,11.26460018,-11.26460018
-62.96672956,11.26097948,-11.26097948
-64.52948569,11.25624843,-11.25624843
-65.60325659,11.2517118,-11.2517118
-66.47929909,11.24653074,-11.24653074
-67.86034478,11.23753958,-11.23753958
-69.7975403,11.22233054,-11.22233054
-70.31002092,11.21832887,-11.21832887
-71.12970772,11.21267826,-11.21267826
-73.06141688,11.20650746,-11.20650746
-74.25546188,11.21136117,-11.21136117
-75.03520832,11.2197112,-11.2197112
-76.36569735,11.24429841,-11.24429841
-78.55623607,11.31790447,-11.31790447
-79.7783603,11.38139059,-11.38139059
-79.87430732,11.38693844,-11.38693844
-81.24416509,11.47705646,-11.47705646
-82.81055508,11.60414937,-11.60414937
-84.5457174,11.77393364,-11.77393364
-84.5457174,11.77393364,-11.77393364
-85.96343629,11.92977865,-11.92977865
-87.90235922,12.16750119,-12.16750119
-89.33206906,12.35735144,-12.35735144
